Data;DataExcel;Regiao;Sistema;Classe;TipoConsumidor; Consumo ;Consumidores
20240301;01/03/2024;Norte;NORTE INTERLIGADO;Outros;Livre;30.385,16;213
20240301;01/03/2024;Norte;NORTE INTERLIGADO;Residencial;Cativo;753.739,31;3.927.413
20240301;01/03/2024;Norte;NORTE INTERLIGADO;Rural;Cativo;45.940,78;238.462
20240301;01/03/2024;Norte;NORTE INTERLIGADO;Rural;Livre;3.669,70;35
20240301;01/03/2024;Norte;SISTEMAS ISOLADOS;Comercial;Cativo;46.521,18;45.983
20240301;01/03/2024;Norte;SISTEMAS ISOLADOS;Industrial;Cativo;5.773,67;808
20240301;01/03/2024;Norte;SISTEMAS ISOLADOS;Industrial;Livre;4.077,88;1
20240301;01/03/2024;Norte;SISTEMAS ISOLADOS;Outros;Cativo;47.792,84;13.822
20240301;01/03/2024;Norte;SISTEMAS ISOLADOS;Residencial;Cativo;141.144,40;602.089
20240301;01/03/2024;Norte;SISTEMAS ISOLADOS;Rural;Cativo;10.126,13;49.189
20240301;01/03/2024;Norte;SUDESTE / CENTRO - OESTE;Comercial;Cativo;66.499,02;67.610
20240301;01/03/2024;Norte;SUDESTE / CENTRO - OESTE;Comercial;Livre;17.461,43;146
20240301;01/03/2024;Norte;SUDESTE / CENTRO - OESTE;Industrial;Cativo;16.371,54;2.671
20240301;01/03/2024;Norte;SUDESTE / CENTRO - OESTE;Industrial;Livre;33.772,17;50
20240301;01/03/2024;Norte;SUDESTE / CENTRO - OESTE;Outros;Cativo;52.362,02;8.532
